코드,코드명,최초상장일
A451250,삐아,20240425.0
A478150,TIME 글로벌우주테크&방산액티브,20240423.0
A461030,아이엠비디엑스,20240403.0
A479080,1Q 머니마켓액티브,20240402.0
A475150,SK이터닉스,20240329.0
A455900,엔젤로보틱스,20240326.0
A420570,제이투케이바이오,20240325.0
A437730,삼현,20240321.0
A477490,에셋플러스 글로벌일등기업포커스10액티브,20240319.0
A199430,케이엔알시스템,20240307.0
A476450,KIWOOM 머니마켓액티브,20240229.0
A278470,에이피알,20240227.0
A476000,UNICORN 포스트IPO액티브,20240227.0
A360350,코셈,20240223.0
A418620,E8,20240223.0
A068100,케이웨더,20240222.0
A452430,사피엔반도체,20240219.0
A443670,에스피소프트,20240215.0
A415380,스튜디오삼익,20240206.0
A472850,폰드그룹,20240202.0
A452400,이닉스,20240201.0
A199550,레이저옵텍,20240201.0
A105760,포스뱅크,20240129.0
